p,d,rows_total,accepted_rows,acceptance_rate,accuracy_on_accepted,pf_rr1
0.66,0.19,272957,222919,0.816682,0.251114,0.335316
0.66,0.21,272957,222919,0.816682,0.251114,0.335316
0.66,0.23,272957,222919,0.816682,0.251114,0.335316
0.66,0.25,272957,222919,0.816682,0.251114,0.335316
0.68,0.05,272957,210103,0.769729,0.250948,0.335021
0.68,0.07,272957,210103,0.769729,0.250948,0.335021
0.68,0.09,272957,210103,0.769729,0.250948,0.335021
0.68,0.11,272957,210103,0.769729,0.250948,0.335021
0.68,0.13,272957,210103,0.769729,0.250948,0.335021
0.68,0.15,272957,210103,0.769729,0.250948,0.335021
0.68,0.17,272957,210103,0.769729,0.250948,0.335021
0.68,0.19,272957,210103,0.769729,0.250948,0.335021
0.68,0.21,272957,210103,0.769729,0.250948,0.335021
0.68,0.23,272957,210103,0.769729,0.250948,0.335021
0.68,0.25,272957,210103,0.769729,0.250948,0.335021
0.7,0.05,272957,192857,0.706547,0.251285,0.335621
0.7,0.07,272957,192857,0.706547,0.251285,0.335621
0.7,0.09,272957,192857,0.706547,0.251285,0.335621
0.7,0.11,272957,192857,0.706547,0.251285,0.335621
0.7,0.13,272957,192857,0.706547,0.251285,0.335621
0.7,0.15,272957,192857,0.706547,0.251285,0.335621
0.7,0.17,272957,192857,0.706547,0.251285,0.335621
0.7,0.19,272957,192857,0.706547,0.251285,0.335621
0.7,0.21,272957,192857,0.706547,0.251285,0.335621
0.7,0.23,272957,192857,0.706547,0.251285,0.335621
0.7,0.25,272957,192857,0.706547,0.251285,0.335621
0.72,0.05,272957,170857,0.625948,0.251503,0.33601
0.72,0.07,272957,170857,0.625948,0.251503,0.33601
0.72,0.09,272957,170857,0.625948,0.251503,0.33601
0.72,0.11,272957,170857,0.625948,0.251503,0.33601
0.72,0.13,272957,170857,0.625948,0.251503,0.33601
0.72,0.15,272957,170857,0.625948,0.251503,0.33601
0.72,0.17,272957,170857,0.625948,0.251503,0.33601
0.72,0.19,272957,170857,0.625948,0.251503,0.33601
0.72,0.21,272957,170857,0.625948,0.251503,0.33601
0.72,0.23,272957,170857,0.625948,0.251503,0.33601
0.72,0.25,272957,170857,0.625948,0.251503,0.33601
0.74,0.05,272957,139821,0.512246,0.252122,0.337117
0.74,0.07,272957,139821,0.512246,0.252122,0.337117
0.74,0.09,272957,139821,0.512246,0.252122,0.337117
0.74,0.11,272957,139821,0.512246,0.252122,0.337117
0.74,0.13,272957,139821,0.512246,0.252122,0.337117
0.74,0.15,272957,139821,0.512246,0.252122,0.337117
0.74,0.17,272957,139821,0.512246,0.252122,0.337117
0.74,0.19,272957,139821,0.512246,0.252122,0.337117
0.74,0.21,272957,139821,0.512246,0.252122,0.337117
0.74,0.23,272957,139821,0.512246,0.252122,0.337117
0.74,0.25,272957,139821,0.512246,0.252122,0.337117
0.76,0.05,272957,98109,0.35943,0.251088,0.335271
0.76,0.07,272957,98109,0.35943,0.251088,0.335271
0.76,0.09,272957,98109,0.35943,0.251088,0.335271
0.76,0.11,272957,98109,0.35943,0.251088,0.335271
0.76,0.13,272957,98109,0.35943,0.251088,0.335271
0.76,0.15,272957,98109,0.35943,0.251088,0.335271
0.76,0.17,272957,98109,0.35943,0.251088,0.335271
0.76,0.19,272957,98109,0.35943,0.251088,0.335271
0.76,0.21,272957,98109,0.35943,0.251088,0.335271
0.76,0.23,272957,98109,0.35943,0.251088,0.335271
0.76,0.25,272957,98109,0.35943,0.251088,0.335271
0.78,0.05,272957,53841,0.197251,0.251946,0.336801
0.78,0.07,272957,53841,0.197251,0.251946,0.336801
0.78,0.09,272957,53841,0.197251,0.251946,0.336801
0.78,0.11,272957,53841,0.197251,0.251946,0.336801
0.78,0.13,272957,53841,0.197251,0.251946,0.336801
0.78,0.15,272957,53841,0.197251,0.251946,0.336801
0.78,0.17,272957,53841,0.197251,0.251946,0.336801
0.78,0.19,272957,53841,0.197251,0.251946,0.336801
0.78,0.21,272957,53841,0.197251,0.251946,0.336801
0.78,0.23,272957,53841,0.197251,0.251946,0.336801
0.78,0.25,272957,53841,0.197251,0.251946,0.336801
0.8,0.05,272957,16245,0.059515,0.253801,0.340125
0.8,0.07,272957,16245,0.059515,0.253801,0.340125
0.8,0.09,272957,16245,0.059515,0.253801,0.340125
0.8,0.11,272957,16245,0.059515,0.253801,0.340125
0.8,0.13,272957,16245,0.059515,0.253801,0.340125
0.8,0.15,272957,16245,0.059515,0.253801,0.340125
0.8,0.17,272957,16245,0.059515,0.253801,0.340125
0.8,0.19,272957,16245,0.059515,0.253801,0.340125
0.8,0.21,272957,16245,0.059515,0.253801,0.340125
0.8,0.23,272957,16245,0.059515,0.253801,0.340125
0.8,0.25,272957,16245,0.059515,0.253801,0.340125
0.82,0.05,272957,4280,0.01568,0.243692,0.322212
0.82,0.07,272957,4280,0.01568,0.243692,0.322212
0.82,0.09,272957,4280,0.01568,0.243692,0.322212
0.82,0.11,272957,4280,0.01568,0.243692,0.322212
0.82,0.13,272957,4280,0.01568,0.243692,0.322212
0.82,0.15,272957,4280,0.01568,0.243692,0.322212
