rows_total,accepted_rows,acceptance_rate,accuracy_all_rows,accuracy_on_accepted,pf_estimate_rr1,pred_Long,pred_Short,pred_None,real_Long,real_Short,real_None,source
184,150,0.815217,0.23913,0.24,0.315789,150,0,0,36,39,0,predictions_XAUUSD_Minute15_20240903.csv
184,162,0.880435,0.23913,0.228395,0.296,162,0,0,37,44,0,predictions_XAUUSD_Minute15_20240904.csv
184,150,0.815217,0.277174,0.28,0.388889,150,0,0,42,33,0,predictions_XAUUSD_Minute15_20240905.csv
168,114,0.678571,0.244048,0.219298,0.280899,114,0,0,25,32,0,predictions_XAUUSD_Minute15_20240906.csv
16,16,1.0,0.25,0.25,0.333333,16,0,0,4,4,0,predictions_XAUUSD_Minute15_20240908.csv
184,168,0.913043,0.277174,0.285714,0.4,168,0,0,48,36,0,predictions_XAUUSD_Minute15_20240909.csv
184,160,0.869565,0.277174,0.275,0.37931,160,0,0,44,36,0,predictions_XAUUSD_Minute15_20240910.csv
184,162,0.880435,0.255435,0.253086,0.338843,162,0,0,41,40,0,predictions_XAUUSD_Minute15_20240911.csv
184,164,0.891304,0.336957,0.329268,0.490909,164,0,0,54,28,0,predictions_XAUUSD_Minute15_20240912.csv
168,154,0.916667,0.291667,0.292208,0.412844,154,0,0,45,32,0,predictions_XAUUSD_Minute15_20240913.csv
16,16,1.0,0.3125,0.3125,0.454545,16,0,0,5,3,0,predictions_XAUUSD_Minute15_20240915.csv
184,112,0.608696,0.244565,0.25,0.333333,112,0,0,28,27,0,predictions_XAUUSD_Minute15_20240916.csv
184,106,0.576087,0.26087,0.273585,0.376623,106,0,0,29,24,0,predictions_XAUUSD_Minute15_20240917.csv
184,144,0.782609,0.244565,0.229167,0.297297,144,0,0,33,39,0,predictions_XAUUSD_Minute15_20240918.csv
184,180,0.978261,0.25,0.244444,0.323529,180,0,0,44,46,0,predictions_XAUUSD_Minute15_20240919.csv
168,114,0.678571,0.279762,0.245614,0.325581,114,0,0,28,29,0,predictions_XAUUSD_Minute15_20240920.csv
16,16,1.0,0.3125,0.3125,0.454545,16,0,0,5,3,0,predictions_XAUUSD_Minute15_20240922.csv
184,114,0.619565,0.222826,0.22807,0.295455,114,0,0,26,30,0,predictions_XAUUSD_Minute15_20240923.csv
184,138,0.75,0.277174,0.289855,0.408163,138,0,0,40,29,0,predictions_XAUUSD_Minute15_20240924.csv
184,120,0.652174,0.228261,0.241667,0.318681,120,0,0,29,31,0,predictions_XAUUSD_Minute15_20240925.csv
184,102,0.554348,0.282609,0.27451,0.378378,102,0,0,28,23,0,predictions_XAUUSD_Minute15_20240926.csv
168,110,0.654762,0.255952,0.245455,0.325301,110,0,0,27,28,0,predictions_XAUUSD_Minute15_20240927.csv
16,16,1.0,0.4375,0.4375,0.777778,16,0,0,7,1,0,predictions_XAUUSD_Minute15_20240929.csv
184,136,0.73913,0.271739,0.272059,0.373737,136,0,0,37,30,0,predictions_XAUUSD_Minute15_20240930.csv
184,116,0.630435,0.255435,0.267241,0.364706,116,0,0,31,27,0,predictions_XAUUSD_Minute15_20241001.csv
184,108,0.586957,0.26087,0.268519,0.367089,108,0,0,29,25,0,predictions_XAUUSD_Minute15_20241002.csv
184,100,0.543478,0.211957,0.22,0.282051,100,0,0,22,28,0,predictions_XAUUSD_Minute15_20241003.csv
168,54,0.321429,0.291667,0.388889,0.636364,54,0,0,21,6,0,predictions_XAUUSD_Minute15_20241004.csv
16,16,1.0,0.25,0.25,0.333333,16,0,0,4,4,0,predictions_XAUUSD_Minute15_20241006.csv
184,106,0.576087,0.206522,0.179245,0.218391,106,0,0,19,33,0,predictions_XAUUSD_Minute15_20241007.csv
184,142,0.771739,0.23913,0.246479,0.327103,142,0,0,35,36,0,predictions_XAUUSD_Minute15_20241008.csv
184,144,0.782609,0.233696,0.243056,0.321101,144,0,0,35,36,0,predictions_XAUUSD_Minute15_20241009.csv
184,136,0.73913,0.244565,0.227941,0.295238,136,0,0,31,37,0,predictions_XAUUSD_Minute15_20241010.csv
168,94,0.559524,0.27381,0.276596,0.382353,94,0,0,26,21,0,predictions_XAUUSD_Minute15_20241011.csv
16,16,1.0,0.25,0.25,0.333333,16,0,0,4,4,0,predictions_XAUUSD_Minute15_20241013.csv
184,86,0.467391,0.217391,0.244186,0.323077,86,0,0,21,21,0,predictions_XAUUSD_Minute15_20241014.csv
184,104,0.565217,0.282609,0.259615,0.350649,104,0,0,27,25,0,predictions_XAUUSD_Minute15_20241015.csv
184,116,0.630435,0.244565,0.258621,0.348837,116,0,0,30,28,0,predictions_XAUUSD_Minute15_20241016.csv
184,108,0.586957,0.266304,0.25,0.333333,102,6,0,30,24,0,predictions_XAUUSD_Minute15_20241017.csv
168,88,0.52381,0.291667,0.306818,0.442623,80,8,0,29,15,0,predictions_XAUUSD_Minute15_20241018.csv
16,16,1.0,0.3125,0.3125,0.454545,16,0,0,5,3,0,predictions_XAUUSD_Minute15_20241020.csv
184,80,0.434783,0.271739,0.2625,0.355932,80,0,0,21,19,0,predictions_XAUUSD_Minute15_20241021.csv
184,80,0.434783,0.271739,0.275,0.37931,62,18,0,19,20,0,predictions_XAUUSD_Minute15_20241022.csv
184,70,0.380435,0.255435,0.214286,0.272727,54,16,0,19,16,0,predictions_XAUUSD_Minute15_20241024.csv
168,68,0.404762,0.244048,0.220588,0.283019,40,28,0,21,13,0,predictions_XAUUSD_Minute15_20241025.csv
16,13,0.8125,0.375,0.384615,0.625,13,0,0,5,2,0,predictions_XAUUSD_Minute15_20241027.csv
184,37,0.201087,0.222826,0.216216,0.275862,37,0,0,8,10,0,predictions_XAUUSD_Minute15_20241028.csv
184,82,0.445652,0.26087,0.280488,0.389831,48,34,0,20,21,0,predictions_XAUUSD_Minute15_20241029.csv
184,100,0.543478,0.190217,0.19,0.234568,50,50,0,24,26,0,predictions_XAUUSD_Minute15_20241030.csv
184,110,0.597826,0.288043,0.263636,0.358025,46,64,0,27,28,0,predictions_XAUUSD_Minute15_20241031.csv
168,76,0.452381,0.232143,0.197368,0.245902,44,32,0,17,21,0,predictions_XAUUSD_Minute15_20241101.csv
8,8,1.0,0.375,0.375,0.6,8,0,0,3,1,0,predictions_XAUUSD_Minute15_20241103.csv
184,58,0.315217,0.244565,0.241379,0.318182,50,8,0,14,15,0,predictions_XAUUSD_Minute15_20241104.csv
184,70,0.380435,0.222826,0.228571,0.296296,42,28,0,18,17,0,predictions_XAUUSD_Minute15_20241105.csv
184,140,0.76087,0.23913,0.235714,0.308411,140,0,0,33,37,0,predictions_XAUUSD_Minute15_20241106.csv
184,142,0.771739,0.288043,0.302817,0.434343,142,0,0,43,28,0,predictions_XAUUSD_Minute15_20241107.csv
176,128,0.727273,0.232955,0.234375,0.306122,128,0,0,30,34,0,predictions_XAUUSD_Minute15_20241108.csv
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20241110.csv
184,108,0.586957,0.244565,0.240741,0.317073,108,0,0,26,28,0,predictions_XAUUSD_Minute15_20241111.csv
184,136,0.73913,0.277174,0.279412,0.387755,136,0,0,38,30,0,predictions_XAUUSD_Minute15_20241112.csv
184,152,0.826087,0.25,0.256579,0.345133,152,0,0,39,36,0,predictions_XAUUSD_Minute15_20241113.csv
184,180,0.978261,0.25,0.25,0.333333,180,0,0,45,45,0,predictions_XAUUSD_Minute15_20241114.csv
176,150,0.852273,0.25,0.26,0.351351,150,0,0,39,36,0,predictions_XAUUSD_Minute15_20241115.csv
8,8,1.0,0.5,0.5,1.0,8,0,0,4,0,0,predictions_XAUUSD_Minute15_20241117.csv
184,162,0.880435,0.288043,0.283951,0.396552,162,0,0,46,35,0,predictions_XAUUSD_Minute15_20241118.csv
184,144,0.782609,0.293478,0.291667,0.411765,144,0,0,42,30,0,predictions_XAUUSD_Minute15_20241119.csv
184,130,0.706522,0.282609,0.307692,0.444444,130,0,0,40,25,0,predictions_XAUUSD_Minute15_20241120.csv
184,122,0.663043,0.271739,0.270492,0.370787,122,0,0,33,28,0,predictions_XAUUSD_Minute15_20241121.csv
176,114,0.647727,0.289773,0.280702,0.390244,114,0,0,32,24,0,predictions_XAUUSD_Minute15_20241122.csv
8,8,1.0,0.25,0.25,0.333333,8,0,0,2,2,0,predictions_XAUUSD_Minute15_20241124.csv
184,146,0.793478,0.25,0.253425,0.33945,146,0,0,37,35,0,predictions_XAUUSD_Minute15_20241125.csv
184,170,0.923913,0.26087,0.276471,0.382114,170,0,0,47,37,0,predictions_XAUUSD_Minute15_20241126.csv
184,138,0.75,0.222826,0.231884,0.301887,138,0,0,32,37,0,predictions_XAUUSD_Minute15_20241127.csv
164,88,0.536585,0.231707,0.25,0.333333,88,0,0,22,22,0,predictions_XAUUSD_Minute15_20241128.csv
158,100,0.632911,0.227848,0.22,0.282051,100,0,0,22,28,0,predictions_XAUUSD_Minute15_20241129.csv
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20241201.csv
184,168,0.913043,0.233696,0.238095,0.3125,168,0,0,40,44,0,predictions_XAUUSD_Minute15_20241202.csv
184,126,0.684783,0.255435,0.230159,0.298969,126,0,0,29,34,0,predictions_XAUUSD_Minute15_20241203.csv
184,132,0.717391,0.228261,0.219697,0.281553,132,0,0,29,37,0,predictions_XAUUSD_Minute15_20241204.csv
184,98,0.532609,0.228261,0.22449,0.289474,98,0,0,22,27,0,predictions_XAUUSD_Minute15_20241205.csv
176,138,0.784091,0.267045,0.231884,0.301887,138,0,0,32,37,0,predictions_XAUUSD_Minute15_20241206.csv
8,8,1.0,0.25,0.25,0.333333,8,0,0,2,2,0,predictions_XAUUSD_Minute15_20241208.csv
184,150,0.815217,0.277174,0.293333,0.415094,150,0,0,44,31,0,predictions_XAUUSD_Minute15_20241209.csv
184,106,0.576087,0.282609,0.283019,0.394737,106,0,0,30,23,0,predictions_XAUUSD_Minute15_20241210.csv
184,128,0.695652,0.298913,0.304688,0.438202,126,2,0,38,26,0,predictions_XAUUSD_Minute15_20241211.csv
184,70,0.380435,0.217391,0.271429,0.372549,60,10,0,20,15,0,predictions_XAUUSD_Minute15_20241212.csv
176,106,0.602273,0.232955,0.226415,0.292683,106,0,0,24,29,0,predictions_XAUUSD_Minute15_20241213.csv
8,8,1.0,0.375,0.375,0.6,8,0,0,3,1,0,predictions_XAUUSD_Minute15_20241215.csv
184,72,0.391304,0.244565,0.263889,0.358491,72,0,0,19,17,0,predictions_XAUUSD_Minute15_20241216.csv
184,106,0.576087,0.266304,0.264151,0.358974,106,0,0,28,25,0,predictions_XAUUSD_Minute15_20241217.csv
184,86,0.467391,0.228261,0.232558,0.30303,86,0,0,20,23,0,predictions_XAUUSD_Minute15_20241218.csv
184,172,0.934783,0.233696,0.232558,0.30303,172,0,0,40,46,0,predictions_XAUUSD_Minute15_20241219.csv
176,142,0.806818,0.272727,0.288732,0.405941,142,0,0,41,30,0,predictions_XAUUSD_Minute15_20241220.csv
8,8,1.0,0.375,0.375,0.6,8,0,0,3,1,0,predictions_XAUUSD_Minute15_20241222.csv
184,132,0.717391,0.233696,0.227273,0.294118,132,0,0,30,36,0,predictions_XAUUSD_Minute15_20241223.csv
150,20,0.133333,0.226667,0.25,0.333333,20,0,0,5,5,0,predictions_XAUUSD_Minute15_20241224.csv
8,8,1.0,0.25,0.25,0.333333,8,0,0,2,2,0,predictions_XAUUSD_Minute15_20241225.csv
184,70,0.380435,0.282609,0.314286,0.458333,70,0,0,22,13,0,predictions_XAUUSD_Minute15_20241226.csv
176,46,0.261364,0.215909,0.26087,0.352941,46,0,0,12,11,0,predictions_XAUUSD_Minute15_20241227.csv
8,8,1.0,0.5,0.5,1.0,8,0,0,4,0,0,predictions_XAUUSD_Minute15_20241229.csv
184,52,0.282609,0.211957,0.269231,0.368421,52,0,0,14,12,0,predictions_XAUUSD_Minute15_20241230.csv
176,62,0.352273,0.25,0.225806,0.291667,62,0,0,14,17,0,predictions_XAUUSD_Minute15_20241231.csv
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20250101.csv
184,90,0.48913,0.277174,0.288889,0.40625,90,0,0,26,19,0,predictions_XAUUSD_Minute15_20250102.csv
176,52,0.295455,0.25,0.25,0.333333,52,0,0,13,13,0,predictions_XAUUSD_Minute15_20250103.csv
8,8,1.0,0.5,0.5,1.0,8,0,0,4,0,0,predictions_XAUUSD_Minute15_20250105.csv
184,96,0.521739,0.244565,0.229167,0.297297,96,0,0,22,25,0,predictions_XAUUSD_Minute15_20250106.csv
184,82,0.445652,0.282609,0.292683,0.413793,82,0,0,24,17,0,predictions_XAUUSD_Minute15_20250107.csv
184,76,0.413043,0.26087,0.289474,0.407407,76,0,0,22,16,0,predictions_XAUUSD_Minute15_20250108.csv
184,70,0.380435,0.222826,0.242857,0.320755,70,0,0,17,18,0,predictions_XAUUSD_Minute15_20250109.csv
176,64,0.363636,0.238636,0.21875,0.28,64,0,0,14,18,0,predictions_XAUUSD_Minute15_20250110.csv
8,8,1.0,0.25,0.25,0.333333,8,0,0,2,2,0,predictions_XAUUSD_Minute15_20250112.csv
184,110,0.597826,0.222826,0.254545,0.341463,110,0,0,28,27,0,predictions_XAUUSD_Minute15_20250113.csv
184,76,0.413043,0.266304,0.289474,0.407407,76,0,0,22,16,0,predictions_XAUUSD_Minute15_20250114.csv
184,64,0.347826,0.233696,0.265625,0.361702,64,0,0,17,15,0,predictions_XAUUSD_Minute15_20250115.csv
184,58,0.315217,0.266304,0.206897,0.26087,58,0,0,12,17,0,predictions_XAUUSD_Minute15_20250116.csv
176,58,0.329545,0.289773,0.241379,0.318182,46,12,0,12,17,0,predictions_XAUUSD_Minute15_20250117.csv
6,6,1.0,0.166667,0.166667,0.2,6,0,0,1,2,0,predictions_XAUUSD_Minute15_20250119.csv
164,30,0.182927,0.243902,0.266667,0.363636,30,0,0,8,7,0,predictions_XAUUSD_Minute15_20250120.csv
184,108,0.586957,0.277174,0.287037,0.402597,108,0,0,31,23,0,predictions_XAUUSD_Minute15_20250121.csv
184,68,0.369565,0.25,0.220588,0.283019,40,28,0,19,15,0,predictions_XAUUSD_Minute15_20250122.csv
184,102,0.554348,0.255435,0.22549,0.291139,50,52,0,25,26,0,predictions_XAUUSD_Minute15_20250123.csv
176,52,0.295455,0.221591,0.192308,0.238095,36,16,0,12,14,0,predictions_XAUUSD_Minute15_20250124.csv
